### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
### Sampling for ensemble average ##################
#   ista = 2000                                    #
#   nperiod = 500                                  #
#   nshift = 1                                     #
#   nsample= (nrec-ista-nperiod)/nshift+1 = 7502   #
####################################################
#       [1]t              [2]Re[u]         [3]Im[u]     [4]Re[du/dt]     [5]Im[du/dt]         [6]Re[f]         [7]Im[f]   [8]Re[Omega*u]   [9]Im[Omega*u]   [10]Re[s]        [11]Im[s]        [12]Re[r]        [13]Im[r]        
    0.000000        0.1836954E-002  -0.2403184E-002   0.4116301E-005  -0.2304193E-004  -0.3910074E-006  -0.6911910E-005   0.5521600E-005   0.5607980E-005    0.000000         0.000000         0.000000         0.000000     
   0.1000000        0.1837365E-002  -0.2405498E-002   0.4101701E-005  -0.2322307E-004  -0.4032890E-006  -0.7037384E-005   0.5527410E-005   0.5609882E-005    0.000000         0.000000         0.000000         0.000000     
   0.2000000        0.1837775E-002  -0.2407829E-002   0.4086689E-005  -0.2340704E-004  -0.4159390E-006  -0.7165186E-005   0.5533267E-005   0.5611786E-005    0.000000         0.000000         0.000000         0.000000     
   0.3000000        0.1838183E-002  -0.2410179E-002   0.4071253E-005  -0.2359389E-004  -0.4289682E-006  -0.7295360E-005   0.5539172E-005   0.5613693E-005    0.000000         0.000000         0.000000         0.000000     
   0.4000000        0.1838589E-002  -0.2412548E-002   0.4055382E-005  -0.2378367E-004  -0.4423881E-006  -0.7427952E-005   0.5545127E-005   0.5615603E-005    0.000000         0.000000         0.000000         0.000000     
   0.5000000        0.1838994E-002  -0.2414936E-002   0.4039064E-005  -0.2397643E-004  -0.4562101E-006  -0.7563010E-005   0.5551131E-005   0.5617516E-005    0.000000         0.000000         0.000000         0.000000     
   0.6000000        0.1839397E-002  -0.2417343E-002   0.4022287E-005  -0.2417223E-004  -0.4704464E-006  -0.7700582E-005   0.5557186E-005   0.5619432E-005    0.000000         0.000000         0.000000         0.000000     
   0.7000000        0.1839798E-002  -0.2419771E-002   0.4005036E-005  -0.2437111E-004  -0.4851093E-006  -0.7840717E-005   0.5563292E-005   0.5621350E-005    0.000000         0.000000         0.000000         0.000000     
   0.8000000        0.1840198E-002  -0.2422218E-002   0.3987300E-005  -0.2457315E-004  -0.5002115E-006  -0.7983466E-005   0.5569451E-005   0.5623271E-005    0.000000         0.000000         0.000000         0.000000     
   0.9000000        0.1840596E-002  -0.2424685E-002   0.3969065E-005  -0.2477839E-004  -0.5157662E-006  -0.8128879E-005   0.5575663E-005   0.5625195E-005    0.000000         0.000000         0.000000         0.000000     
    1.000000        0.1840992E-002  -0.2427174E-002   0.3950316E-005  -0.2498689E-004  -0.5317868E-006  -0.8277010E-005   0.5581929E-005   0.5627122E-005    0.000000         0.000000         0.000000         0.000000     
    1.100000        0.1841386E-002  -0.2429683E-002   0.3931040E-005  -0.2519871E-004  -0.5482874E-006  -0.8427912E-005   0.5588249E-005   0.5629052E-005    0.000000         0.000000         0.000000         0.000000     
    1.200000        0.1841778E-002  -0.2432213E-002   0.3911221E-005  -0.2541391E-004  -0.5652822E-006  -0.8581642E-005   0.5594626E-005   0.5630984E-005    0.000000         0.000000         0.000000         0.000000     
    1.300000        0.1842168E-002  -0.2434766E-002   0.3890845E-005  -0.2563256E-004  -0.5827861E-006  -0.8738254E-005   0.5601059E-005   0.5632919E-005    0.000000         0.000000         0.000000         0.000000     
    1.400000        0.1842556E-002  -0.2437340E-002   0.3869895E-005  -0.2585472E-004  -0.6008144E-006  -0.8897808E-005   0.5607549E-005   0.5634857E-005    0.000000         0.000000         0.000000         0.000000     
    1.500000        0.1842942E-002  -0.2439937E-002   0.3848356E-005  -0.2608045E-004  -0.6193828E-006  -0.9060363E-005   0.5614098E-005   0.5636797E-005    0.000000         0.000000         0.000000         0.000000     
    1.600000        0.1843326E-002  -0.2442556E-002   0.3826210E-005  -0.2630982E-004  -0.6385074E-006  -0.9225979E-005   0.5620706E-005   0.5638740E-005    0.000000         0.000000         0.000000         0.000000     
    1.700000        0.1843707E-002  -0.2445199E-002   0.3803441E-005  -0.2654290E-004  -0.6582051E-006  -0.9394718E-005   0.5627375E-005   0.5640686E-005    0.000000         0.000000         0.000000         0.000000     
    1.800000        0.1844086E-002  -0.2447865E-002   0.3780031E-005  -0.2677976E-004  -0.6784930E-006  -0.9566645E-005   0.5634105E-005   0.5642634E-005    0.000000         0.000000         0.000000         0.000000     
    1.900000        0.1844463E-002  -0.2450555E-002   0.3755961E-005  -0.2702047E-004  -0.6993890E-006  -0.9741825E-005   0.5640898E-005   0.5644585E-005    0.000000         0.000000         0.000000         0.000000     
    2.000000        0.1844837E-002  -0.2453269E-002   0.3731214E-005  -0.2726510E-004  -0.7209113E-006  -0.9920326E-005   0.5647754E-005   0.5646539E-005    0.000000         0.000000         0.000000         0.000000     
    2.100000        0.1845209E-002  -0.2456008E-002   0.3705769E-005  -0.2751372E-004  -0.7430789E-006  -0.1010221E-004   0.5654674E-005   0.5648495E-005    0.000000         0.000000         0.000000         0.000000     
    2.200000        0.1845579E-002  -0.2458772E-002   0.3679607E-005  -0.2776642E-004  -0.7659112E-006  -0.1028756E-004   0.5661660E-005   0.5650453E-005    0.000000         0.000000         0.000000         0.000000     
    2.300000        0.1845945E-002  -0.2461562E-002   0.3652707E-005  -0.2802327E-004  -0.7894284E-006  -0.1047644E-004   0.5668712E-005   0.5652414E-005    0.000000         0.000000         0.000000         0.000000     
    2.400000        0.1846309E-002  -0.2464377E-002   0.3625048E-005  -0.2828436E-004  -0.8136512E-006  -0.1066893E-004   0.5675832E-005   0.5654377E-005    0.000000         0.000000         0.000000         0.000000     
    2.500000        0.1846670E-002  -0.2467219E-002   0.3596608E-005  -0.2854976E-004  -0.8386010E-006  -0.1086510E-004   0.5683021E-005   0.5656343E-005    0.000000         0.000000         0.000000         0.000000     
    2.600000        0.1847028E-002  -0.2470087E-002   0.3567365E-005  -0.2881956E-004  -0.8642999E-006  -0.1106503E-004   0.5690280E-005   0.5658311E-005    0.000000         0.000000         0.000000         0.000000     
    2.700000        0.1847384E-002  -0.2472983E-002   0.3537296E-005  -0.2909385E-004  -0.8907706E-006  -0.1126881E-004   0.5697611E-005   0.5660282E-005    0.000000         0.000000         0.000000         0.000000     
    2.800000        0.1847736E-002  -0.2475906E-002   0.3506377E-005  -0.2937271E-004  -0.9180366E-006  -0.1147651E-004   0.5705013E-005   0.5662254E-005    0.000000         0.000000         0.000000         0.000000     
    2.900000        0.1848085E-002  -0.2478857E-002   0.3474583E-005  -0.2965624E-004  -0.9461223E-006  -0.1168821E-004   0.5712489E-005   0.5664229E-005    0.000000         0.000000         0.000000         0.000000     
    3.000000        0.1848431E-002  -0.2481837E-002   0.3441888E-005  -0.2994453E-004  -0.9750526E-006  -0.1190402E-004   0.5720040E-005   0.5666206E-005    0.000000         0.000000         0.000000         0.000000     
    3.100000        0.1848773E-002  -0.2484846E-002   0.3408267E-005  -0.3023768E-004  -0.1004853E-005  -0.1212402E-004   0.5727667E-005   0.5668184E-005    0.000000         0.000000         0.000000         0.000000     
    3.200000        0.1849112E-002  -0.2487885E-002   0.3373693E-005  -0.3053579E-004  -0.1035551E-005  -0.1234829E-004   0.5735372E-005   0.5670165E-005    0.000000         0.000000         0.000000         0.000000     
